review_number,block,block_chronology,block_position
21457,WorkbenchActionBuilder_20,ini/mei,mesmo arquivo
21457,WorkbenchActionBuilder_22,ini/mei,mesmo arquivo
21457,WorkbenchActionBuilder_3,ini/mei,ambos
21457,WorkbenchActionBuilder_7,ini/mei,mesmo arquivo
21457,WorkbenchActionBuilder_9,ini/mei,mesmo arquivo
21459,WorkbenchWindow_0,unique/mei,mesmo arquivo
21459,WorkbenchWindow_1,unique/mei,ambos
21459,WorkbenchWindow_5,mei/final,mesmo arquivo
21459,WorkbenchWindow_6,mei/final,mesmo arquivo
21459,WorkbenchWindow_7,unique/mei,mesmo arquivo
21459,WorkbenchWindow_9,mei/final,mesmo arquivo
21459,WorkbenchWindow_0_rev_3,unique/final,mesmo arquivo
21459,WorkbenchWindow_1_rev_3,unique/final,mesmo arquivo
21459,WorkbenchWindow_2_rev_3,unique/final,mesmo arquivo
21459,WorkbenchWindow_7_rev_3,unique/final,mesmo arquivo
21586,ToolItemUpdater_1,ini/mei/final,mesmo arquivo
22155,ColorsAndFontsPreferencePage_15,ini/mei/final,mesmo arquivo
22155,ColorsAndFontsPreferencePage_16,ini/mei/final,mesmo arquivo
22155,ViewsPreferencePage_5,ini/mei/final,arquivo diferente
22155,CSSPropertyBackgroundSWTHandler_2,mei/final,arquivo diferente
22335,ProgressMonitorPart_2,mei,mesmo arquivo
22335,ProgressMonitorPart_6,mei,mesmo arquivo
22335,ProgressMonitorPart_1,mei,mesmo arquivo
22335,ProgressMonitorPart_4,mei,mesmo arquivo
22335,ProgressMonitorPart_5,mei,mesmo arquivo
22335,ProgressMonitorPart_6_rev_2,mei,mesmo arquivo
22335,ProgressMonitorPart_9,mei,mesmo arquivo
22501,WorkbenchPage_0,ini/mei/final,mesmo arquivo
22586,CTabRendering_2,unique/ini/mei/final,mesmo arquivo
22622,ColorsAndFontsPreferencePage_30,ini/mei/final,mesmo arquivo
22622,ColorsAndFontsPreferencePage_31,ini/mei/final,mesmo arquivo
22622,CSSPropertyBackgroundSWTHandler_2,ini/mei/final,arquivo diferente
22622,ViewsPreferencePage_18,ini/mei/final,arquivo diferente
22714,ActionFactory_0,ini/mei/final,ambos
22731,ElementReferenceRenderer_1,ini/mei/final,mesmo arquivo
22961,StackRenderer_0,unique/ini,arquivo diferente
22961,AbstractPartRenderer_0,mei/final,arquivo diferente
23183,ModelAssembler_2,mei/final,mesmo arquivo
23183,ModelAssembler_3,mei/final,mesmo arquivo
23185,ListView_0,ini/mei/final,arquivo diferente
23583,PartSite_0,unique/ini,arquivo diferente
23637,AboutTextManager_2,unique/ini,mesmo arquivo
23637,AboutTextManager_4,unique/ini,mesmo arquivo
23637,AboutTextManager_5,unique/ini,mesmo arquivo
23638,AboutFeaturesPage_0,unique/ini/mei/final,mesmo arquivo
23641,ExtensionActivityRegistry_1,unique/ini/mei/final,mesmo arquivo
23641,ExtensionActivityRegistry_4,unique/ini/mei/final,mesmo arquivo
23641,ExtensionActivityRegistry_5,unique/ini/mei/final,mesmo arquivo
23641,ExtensionActivityRegistry_6,unique/ini/mei/final,mesmo arquivo
23641,MutableActivityManager_17,unique/ini/mei/final,mesmo arquivo
23641,MutableActivityManager_23,unique/ini/mei/final,mesmo arquivo
23642,ActivityCategoryPreferencePage_1,unique/ini/mei/final,mesmo arquivo
23642,ActivityCategoryPreferencePage_11,unique/ini/mei/final,mesmo arquivo
23642,ActivityCategoryPreferencePage_13,unique/ini/mei/final,ambos
23642,ActivityCategoryPreferencePage_15,unique/ini/mei/final,mesmo arquivo
23642,ActivityCategoryPreferencePage_2,unique/ini/mei/final,mesmo arquivo
23642,ActivityCategoryPreferencePage_7,unique/ini/mei/final,mesmo arquivo
23642,ActivityCategoryPreferencePage_9,unique/ini/mei/final,mesmo arquivo
23642,ActivityPatternBindingDefinition_16,unique/ini/mei/final,mesmo arquivo
23642,ActivityPatternBindingDefinition_18,unique/ini/mei/final,mesmo arquivo
23642,ActivityRequirementBindingDefinition_21,unique/ini/mei/final,mesmo arquivo
23642,ActivityRequirementBindingDefinition_22,unique/ini/mei/final,ambos
23642,CategoryActivityBindingDefinition_25,unique/ini/mei/final,ambos
23642,CategoryDefinition_27,unique/ini/mei/final,ambos
23642,CategoryDefinition_28,unique/ini/mei/final,ambos
23785,ShowViewDialog_10,ini/mei/final,mesmo arquivo
