review_number,categoria,move_block
1079,,no_clone,
1080,,no_clone,
1082,,no_clone,
1089,,no_clone,
1094,,no_clone,
1118,,no_clone,
1119,,no_clone,
1120,,no_clone,
1126,,no_clone,
1127,,no_clone,
1128,,no_clone,
1131,,no_clone,
1135,,no_clone,
1136,,no_clone,
1145,CommitMessageViewer_0,review with at least one clone,arquivo diferente
1149,,no_clone,
1181,,no_clone,
1194,,no_clone,
1196,,no_clone,
1200,,no_clone,
1201,,no_clone,
1205,,no_clone,
1206,,no_clone,
1209,,no_clone,
1211,,no_clone,
1227,,no_clone,
1228,,no_clone,
1236,,no_clone,
1238,,no_clone,
1240,CommitDialog_1,review with at least one clone,mesmo arquivo
1240,CommitDialog_0,review with at least one clone,mesmo arquivo
1241,,no_clone,
1242,,no_clone,
1243,,no_clone,
1245,,no_clone,
1249,,no_clone,
1252,,no_clone,
1255,,no_clone,
1257,,no_clone,
1259,,no_clone,
1265,,no_clone,
1266,,no_clone,
1273,,no_clone,
1275,,no_clone,
1277,,no_clone,
1278,,no_clone,
1287,,no_clone,
1288,,no_clone,
1289,,no_clone,
1291,,no_clone,
1292,,no_clone,
1295,,no_clone,
1296,,no_clone,
1297,,no_clone,
1298,,uninteresting_clone,
1300,,no_clone,
1301,,no_clone,
1304,,no_clone,
1317,,no_clone,
1319,,no_clone,
1323,,no_clone,
1325,,no_clone,
1327,,no_clone,
1328,,no_clone,
1329,,no_clone,
1332,,no_clone,
1336,DiscardChangesActionHandler_0,review with at least one clone,mesmo arquivo
1344,,no_clone,
1345,,no_clone,
1351,,no_clone,
1354,,no_clone,
1359,,no_clone,
1361,,no_clone,
1368,,no_clone,
1372,,no_clone,
1373,,no_clone,
1374,,no_clone,
1378,,no_clone,
1380,,no_clone,
1381,,uninteresting_clone,
1391,,no_clone,
1392,,no_clone,
1394,,no_clone,
1411,ConfigureUriPage_4,review with at least one clone,mesmo arquivo
1411,RepositoriesViewContentProvider_8,review with at least one clone,mesmo arquivo
1412,,no_clone,
1417,,no_clone,
1420,,no_clone,
1422,,no_clone,
1423,,no_clone,
1424,,no_clone,
1429,CreateTagDialog_2,review with at least one clone,arquivo diferente
1432,,no_clone,
1434,,no_clone,
1436,,no_clone,
1445,,no_clone,
1451,,no_clone,
1453,,no_clone,
1455,,no_clone,
1461,,no_clone,
1471,,no_clone,
1478,,no_clone,
1496,,no_clone,
1506,,no_clone,
1508,,uninteresting_clone,
1513,,no_clone,
1517,,no_clone,
1518,SourceBranchPage_0,review with at least one clone,mesmo arquivo
1519,,no_clone,
1521,,no_clone,
1526,,no_clone,
1531,,no_clone,
1533,,no_clone,
1536,,no_clone,
1538,,no_clone,
1539,,no_clone,
1540,,no_clone,
1541,,no_clone,
1549,,no_clone,
1553,,no_clone,
1558,,no_clone,
1561,,no_clone,
1563,,no_clone,
1565,,no_clone,
1566,,no_clone,
1568,,no_clone,
1569,,no_clone,
1570,,no_clone,
1572,,no_clone,
1577,,no_clone,
1588,,no_clone,
1590,,no_clone,
1592,,no_clone,
1593,,no_clone,
1596,,no_clone,
1598,,no_clone,
1600,,no_clone,
1605,,no_clone,
1607,,no_clone,
1611,,no_clone,
1612,,no_clone,
1616,,no_clone,
1617,,uninteresting_clone,
1618,,no_clone,
1621,,no_clone,
1622,,no_clone,
1626,,no_clone,
1630,,no_clone,
1632,,no_clone,
1633,,no_clone,
1636,GitCloneWizard_0,review with at least one clone,mesmo arquivo
1637,RemoveCommand_0,review with at least one clone,mesmo arquivo
1650,,no_clone,
1658,,no_clone,
1659,,no_clone,
1668,,no_clone,
1674,,no_clone,
1675,,no_clone,
1676,,no_clone,
1679,,no_clone,
1685,,no_clone,
1689,,no_clone,
1691,,no_clone,
1693,,no_clone,
1695,,no_clone,
1698,,no_clone,
1705,,no_clone,
1711,,no_clone,
1713,,no_clone,
1730,,no_clone,
1750,,no_clone,
1761,,no_clone,
1765,,no_clone,
1768,CheckoutCommand_16,review with at least one clone,arquivo diferente
1768,PushConfiguredRemoteAction_15,review with at least one clone,arquivo diferente
1768,FindToolbar_3,review with at least one clone,mesmo arquivo
1768,FindToolbarThread_4,review with at least one clone,mesmo arquivo
1769,,uninteresting_clone,
1778,EclipseProxySelector_0,review with at least one clone,mesmo arquivo
1781,,no_clone,
1789,CommitGraphTable_0,review with at least one clone,mesmo arquivo
1789,GraphLabelProvider_2,review with at least one clone,mesmo arquivo
1805,,no_clone,
1806,RepositoriesViewLabelProvider_0,review with at least one clone,mesmo arquivo
1816,,no_clone,
1827,,no_clone,
1836,,no_clone,
1837,FileDiffLabelProvider_6,review with at least one clone,arquivo diferente
1838,,no_clone,
1840,,no_clone,
1841,,no_clone,
1860,,no_clone,
1866,,no_clone,
1871,,no_clone,
1873,DeleteBranchCommand_0,review with at least one clone,mesmo arquivo
1878,,no_clone,
