review_number,categoria,move_block
1101,UnpackedObject_6,review with at least one clone,mesmo arquivo
1102,,no_clone,
1103,,no_clone,
1104,,no_clone,
1105,,no_clone,
1106,,no_clone,
1107,,no_clone,
1108,,no_clone,
1109,,no_clone,
1110,,no_clone,
1111,,no_clone,
1112,,no_clone,
1113,,no_clone,
1114,,uninteresting_clone,
1115,DeltaCache_1,review with at least one clone,mesmo arquivo
1116,,no_clone,
1134,,no_clone,
1137,,no_clone,
1140,HunkHeader_27,review with at least one clone,mesmo arquivo
1141,,no_clone,
1150,,no_clone,
1151,,uninteresting_clone,
1153,,uninteresting_clone,
1154,,no_clone,
1155,,no_clone,
1157,,no_clone,
1158,,no_clone,
1163,,uninteresting_clone,
1164,,no_clone,
1165,,uninteresting_clone,
1171,BundleWriter_138,review with at least one clone,mesmo arquivo
1171,FetchProcess_139,review with at least one clone,mesmo arquivo
1171,CommitCommand_26,review with at least one clone,mesmo arquivo
1171,InfoRefsServlet_0,review with at least one clone,mesmo arquivo
1171,TreeWalk_149,review with at least one clone,mesmo arquivo
1171,ObjectDirectory_103,review with at least one clone,mesmo arquivo
1171,FetchProcess_140,review with at least one clone,mesmo arquivo
1171,CommitCommand_27,review with at least one clone,mesmo arquivo
1171,UploadPack_144,review with at least one clone,mesmo arquivo
1171,BundleFetchConnection_136,review with at least one clone,mesmo arquivo
1178,,no_clone,
1180,TreeWalk_0,review with at least one clone,mesmo arquivo
1182,,uninteresting_clone,
1183,,no_clone,
1186,,no_clone,
1187,,no_clone,
1192,,no_clone,
1193,,no_clone,
1197,,no_clone,
1199,,no_clone,
1212,,no_clone,
1237,,uninteresting_clone,
1248,PackWriter_8,review with at least one clone,mesmo arquivo
1260,,no_clone,
1261,,no_clone,
1262,,no_clone,
1267,,no_clone,
1276,,no_clone,
1299,,no_clone,
1308,,no_clone,
1310,,no_clone,
1313,,no_clone,
1314,,no_clone,
1335,,no_clone,
1340,,no_clone,
1341,,no_clone,
1342,,no_clone,
1343,,no_clone,
1352,,no_clone,
1362,,no_clone,
1363,,no_clone,
1364,,no_clone,
1365,,no_clone,
1366,,no_clone,
1367,,no_clone,
1370,,no_clone,
1371,DiffEntry_0,review with at least one clone,mesmo arquivo
1382,,no_clone,
1383,,no_clone,
1384,,no_clone,
1385,,no_clone,
1386,,no_clone,
1387,GitIndex_10,review with at least one clone,mesmo arquivo
1387,Tree_12,review with at least one clone,arquivo diferente
1389,AbstractFetchCommand_0,review with at least one clone,mesmo arquivo
1389,Branch_2,review with at least one clone,mesmo arquivo
1406,,no_clone,
1418,,no_clone,
1426,,no_clone,
1427,,no_clone,
1428,,no_clone,
1430,,no_clone,
1431,,no_clone,
1433,,no_clone,
1441,,no_clone,
1450,,no_clone,
1454,,no_clone,
1458,,no_clone,
1459,,no_clone,
1460,,no_clone,
1462,,no_clone,
1465,,no_clone,
1470,,no_clone,
1472,,no_clone,
1473,,no_clone,
1475,,no_clone,
1476,,no_clone,
1480,,no_clone,
1481,,no_clone,
1482,,no_clone,
1483,,no_clone,
1484,,no_clone,
1485,,no_clone,
1486,DiffFormatter_0,review with at least one clone,mesmo arquivo
1487,,no_clone,
1495,,no_clone,
1497,,no_clone,
1498,,no_clone,
1500,,no_clone,
1509,,no_clone,
1522,,no_clone,
1523,,no_clone,
1524,,no_clone,
1525,,no_clone,
1527,,no_clone,
1528,,no_clone,
1529,,no_clone,
1542,,no_clone,
1543,,no_clone,
1544,,no_clone,
1545,ReceivePack_1,review with at least one clone,mesmo arquivo
1552,,no_clone,
1554,,no_clone,
1567,,no_clone,
1582,,no_clone,
1583,,no_clone,
1584,,no_clone,
1597,,no_clone,
1599,,no_clone,
1601,,no_clone,
1603,,no_clone,
1604,,no_clone,
1606,,no_clone,
1608,,no_clone,
1609,,no_clone,
1615,,no_clone,
1619,,no_clone,
1620,,no_clone,
1628,,no_clone,
1635,,no_clone,
1647,,no_clone,
1648,,no_clone,
1649,,no_clone,
1651,,no_clone,
1652,,no_clone,
1655,,no_clone,
1656,,no_clone,
1660,,no_clone,
1664,,no_clone,
1670,,no_clone,
1681,,no_clone,
1706,,no_clone,
1708,,no_clone,
1709,,no_clone,
1710,,no_clone,
1712,,no_clone,
1716,,no_clone,
1717,,no_clone,
1718,,no_clone,
1719,PatienceDiffIndex_0,review with at least one clone,mesmo arquivo
1720,,no_clone,
1723,,no_clone,
1731,,no_clone,
1732,,no_clone,
1733,,no_clone,
1738,,no_clone,
1741,,no_clone,
1742,,no_clone,
1743,,no_clone,
1744,,no_clone,
1759,,no_clone,
1760,,no_clone,
1784,,no_clone,
1786,,no_clone,
1800,,no_clone,
1803,,no_clone,
1804,,no_clone,
1811,,no_clone,
1812,,no_clone,
1813,,no_clone,
1814,,no_clone,
