review_number,block,categoria,tipo,duracao,distancia,move_block
8644,MultiGetOperationImpl_132,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,VBucketNodeLocator_244,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,SyncThread_57,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,KeyUtil_30,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,DocsOperationImpl_152,recorrente,ini/mei,0.2222222222222222,0,ambos
8644,CacheConfig_249,individual,unique/ini,0.1111111111111111,0,arquivo diferente
8644,AbstractNodeLocationCase_273,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,BaseOperationFactory_83,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,TapOpcode_191,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,SASLBaseOperationImpl_139,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,ClientBaseCase_313,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,SASLBaseOperationImpl_140,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,BucketUpdateResponseHandler_221,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,SASLBaseOperationImpl_141,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,ClientBaseCase_315,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,KetamaIterator_26,recorrente,ini/mei,0.3333333333333333,0,ambos
8644,Node_270,individual,unique/ini,0.1111111111111111,0,arquivo diferente
8644,BucketMonitor_217,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,RowReduced_162,recorrente,ini/mei,0.2222222222222222,0,mesmo arquivo
8644,BaseGetOpImpl_97,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,SyncThread_58,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,ResponseMessage_185,recorrente,ini/mei,0.2222222222222222,0,mesmo arquivo
8644,TapFlag_189,recorrente,ini/mei,0.2222222222222222,0,mesmo arquivo
8644,DefaultConfigFactory_264,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,ResponseMessage_183,recorrente,ini/mei,0.2222222222222222,0,mesmo arquivo
8644,ReducedOperationImpl_160,recorrente,ini/mei,0.2222222222222222,0,ambos
8644,WhalinTranscoder_206,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,ConfigurationParserJSON_255,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,CASMutator_6,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,OperationImpl_114,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,SASLConnectReconnect_433,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,BucketUpdateResponseHandler_220,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,SunLogger_66,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,ConfigurationParserJSON_257,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,Node_271,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,DefaultConfigFactory_268,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,CASMutator_8,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,TranscoderUtils_202,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,ConfigurationParserJSON_259,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,ConfigurationParserJSON_258,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,MultiOperationCallback_85,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,Log4JLogger_62,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
