review_number,categoria,move_block
23954,,no_clone,
23981,,no_clone,
23984,,no_clone,
24053,,no_clone,
24060,,no_clone,
24092,,no_clone,
24099,,no_clone,
24100,,no_clone,
24102,,no_clone,
24103,,no_clone,
24104,,no_clone,
24121,,no_clone,
24148,,no_clone,
24149,,no_clone,
24150,,no_clone,
24151,,no_clone,
24152,,no_clone,
24153,,no_clone,
24154,,no_clone,
24155,,no_clone,
24156,,no_clone,
24157,,no_clone,
24158,,no_clone,
24159,,no_clone,
24163,,no_clone,
24164,,no_clone,
24166,,no_clone,
24168,,no_clone,
24169,,no_clone,
24170,,no_clone,
24172,,no_clone,
24213,,no_clone,
24240,,no_clone,
24320,,no_clone,
24448,,no_clone,
24503,,no_clone,
24509,,no_clone,
24531,,no_clone,
24595,,no_clone,
24649,,no_clone,
24682,,no_clone,
24739,,no_clone,
24740,,no_clone,
24828,,no_clone,
24856,,no_clone,
24888,,no_clone,
24944,,no_clone,
25074,,no_clone,
25121,,no_clone,
25158,,no_clone,
25337,,no_clone,
25368,,uninteresting_clone,
25384,ModelServiceImpl_0,review with at least one clone,mesmo arquivo
25422,,no_clone,
25467,,no_clone,
25489,,no_clone,
25507,,no_clone,
25520,,no_clone,
25571,,no_clone,
25630,,no_clone,
25632,,no_clone,
25634,,no_clone,
25635,,no_clone,
25636,,no_clone,
25638,,no_clone,
25652,,no_clone,
25763,,no_clone,
25785,,no_clone,
25786,,no_clone,
25802,,no_clone,
25825,CSSPropertyBackgroundSWTHandler_0,review with at least one clone,mesmo arquivo
25856,,no_clone,
25877,WorkbenchWindow_0,review with at least one clone,mesmo arquivo
26032,,no_clone,
26058,Snippet058VistaProgressBars_0,review with at least one clone,mesmo arquivo
26075,,no_clone,
26249,,no_clone,
26250,,no_clone,
26251,,no_clone,
26374,,no_clone,
26397,,no_clone,
26431,,no_clone,
26488,,no_clone,
26491,Snippet002UpdateComboRetainSelection_1,review with at least one clone,mesmo arquivo
26491,Snippet002UpdateComboRetainSelection_2,review with at least one clone,mesmo arquivo
26541,,no_clone,
26556,,no_clone,
26997,,no_clone,
27002,,no_clone,
27100,,no_clone,
27163,,no_clone,
27178,,no_clone,
27235,,no_clone,
27236,WorkbenchAdvisor_0,review with at least one clone,arquivo diferente
27368,,no_clone,
27447,,no_clone,
27459,,no_clone,
27478,,no_clone,
27688,,no_clone,
28053,,no_clone,
28203,,no_clone,
28211,,no_clone,
28212,WorkbenchWindow_0,review with at least one clone,mesmo arquivo
28212,WorkbenchWindow_1,review with at least one clone,ambos
28212,WorkbenchWindow_10,review with at least one clone,mesmo arquivo
28212,WorkbenchWindow_12,review with at least one clone,mesmo arquivo
28212,WorkbenchWindow_5,review with at least one clone,mesmo arquivo
28212,WorkbenchWindow_6,review with at least one clone,mesmo arquivo
28212,WorkbenchWindow_7,review with at least one clone,mesmo arquivo
28212,WorkbenchWindow_8,review with at least one clone,mesmo arquivo
28212,WorkbenchWindow_9,review with at least one clone,mesmo arquivo
28236,,no_clone,
28937,TrimBarLayout_0,review with at least one clone,mesmo arquivo
28991,,no_clone,
29732,,no_clone,
29741,,no_clone,
29759,,no_clone,
29762,,no_clone,
30008,,no_clone,
30232,,no_clone,
30250,ExtensionsSort_0,review with at least one clone,mesmo arquivo
30305,,no_clone,
30311,,no_clone,
30312,,no_clone,
30336,,no_clone,
30345,,no_clone,
30354,,no_clone,
30355,,no_clone,
30359,,no_clone,
30365,,no_clone,
30380,,no_clone,
30709,,no_clone,
30710,,no_clone,
30779,,no_clone,
30780,,no_clone,
30986,,no_clone,
30991,,no_clone,
30994,,no_clone,
31178,,no_clone,
31209,,no_clone,
31277,,no_clone,
31279,,no_clone,
31282,,no_clone,
31283,,no_clone,
31285,,no_clone,
31297,,no_clone,
31298,,no_clone,
31299,,no_clone,
31382,,no_clone,
31383,,no_clone,
31510,ThemeElementDefinition_0,review with at least one clone,mesmo arquivo
31737,,no_clone,
31739,,no_clone,
31746,,no_clone,
31777,SashLayout_2,review with at least one clone,mesmo arquivo
31824,,no_clone,
31830,,no_clone,
31835,,no_clone,
31838,,no_clone,
31846,,no_clone,
31912,,no_clone,
31966,,no_clone,
31978,,no_clone,
32016,,no_clone,
32053,,no_clone,
32061,,no_clone,
32064,,no_clone,
32073,,no_clone,
32204,,no_clone,
32233,,no_clone,
32236,,no_clone,
32260,,no_clone,
32314,,no_clone,
32315,,no_clone,
32317,,no_clone,
32469,,no_clone,
32472,,no_clone,
32504,,no_clone,
32531,,no_clone,
32636,,no_clone,
32638,,no_clone,
32765,,no_clone,
32766,,no_clone,
32801,,no_clone,
32913,,no_clone,
32996,,no_clone,
33045,,no_clone,
33049,,no_clone,
33055,,no_clone,
33204,,no_clone,
33210,,no_clone,
33211,,no_clone,
33212,,no_clone,
33305,,no_clone,
33335,,no_clone,
33367,,no_clone,
33380,,no_clone,
33383,,no_clone,
33385,,no_clone,
33402,,no_clone,
33501,,no_clone,
33565,,no_clone,
33566,,no_clone,
33569,,no_clone,
33570,,no_clone,
33719,,no_clone,
33798,,no_clone,
33822,,no_clone,
33949,,no_clone,
34139,,no_clone,
34173,,no_clone,
34174,,no_clone,
34184,ShowViewDialog_10,review with at least one clone,mesmo arquivo
34184,ShowViewDialog_11,review with at least one clone,mesmo arquivo
34184,ShowViewDialog_12,review with at least one clone,mesmo arquivo
34184,ShowViewDialog_7,review with at least one clone,mesmo arquivo
34184,ShowViewDialog_8,review with at least one clone,ambos
34184,ShowViewDialog_9,review with at least one clone,ambos
34184,ViewContentProvider_18,review with at least one clone,mesmo arquivo
34184,ViewContentProvider_19,review with at least one clone,mesmo arquivo
34184,ViewContentProvider_20,review with at least one clone,mesmo arquivo
34184,ViewLabelProvider_23,review with at least one clone,mesmo arquivo
34184,ViewLabelProvider_24,review with at least one clone,mesmo arquivo
34184,ViewLabelProvider_25,review with at least one clone,mesmo arquivo
34290,RawIViewPart_5,review with at least one clone,mesmo arquivo
34338,,no_clone,
34343,,no_clone,
34427,,no_clone,
34463,,no_clone,
34475,,no_clone,
34650,,no_clone,
34718,,no_clone,
34848,,no_clone,
34927,,no_clone,
35163,,no_clone,
35182,,no_clone,
35200,,no_clone,
35201,,no_clone,
35228,,no_clone,
35240,,no_clone,
35272,,no_clone,
35273,,no_clone,
35336,,no_clone,
35338,,no_clone,
35351,,no_clone,
35379,,no_clone,
35428,,no_clone,
35515,,no_clone,
35516,,no_clone,
35549,,no_clone,
35662,Snippet025TabEditing_0,review with at least one clone,arquivo diferente
35840,,no_clone,
35841,,no_clone,
35853,,no_clone,
35870,,no_clone,
35874,,no_clone,
35917,ShowViewDialog_10,review with at least one clone,mesmo arquivo
35917,ShowViewDialog_11,review with at least one clone,mesmo arquivo
35917,ShowViewDialog_12,review with at least one clone,mesmo arquivo
35917,ShowViewDialog_7,review with at least one clone,mesmo arquivo
35917,ShowViewDialog_8,review with at least one clone,ambos
35917,ShowViewDialog_9,review with at least one clone,ambos
35917,ViewContentProvider_17,review with at least one clone,arquivo diferente
35917,ViewContentProvider_18,review with at least one clone,ambos
35917,ViewContentProvider_20,review with at least one clone,mesmo arquivo
35917,ViewLabelProvider_23,review with at least one clone,mesmo arquivo
35917,ViewLabelProvider_24,review with at least one clone,mesmo arquivo
35917,ViewLabelProvider_25,review with at least one clone,mesmo arquivo
36022,,no_clone,
36024,,no_clone,
36073,,no_clone,
36076,,no_clone,
36084,,no_clone,
36086,,no_clone,
36279,,no_clone,
36298,,no_clone,
36416,,no_clone,
36458,,no_clone,
36720,,no_clone,
36757,,no_clone,
37089,TrimStack_0,review with at least one clone,mesmo arquivo
37251,,no_clone,
37254,,no_clone,
37279,,no_clone,
37540,,no_clone,
37695,,no_clone,
37704,,no_clone,
38453,,no_clone,
38490,,no_clone,
38757,,no_clone,
38836,,no_clone,
38905,,no_clone,
38981,,no_clone,
39044,,no_clone,
39116,BasicPartList_1,review with at least one clone,mesmo arquivo
39119,,no_clone,
39122,,no_clone,
39179,AboutData_24,review with at least one clone,mesmo arquivo
39179,AboutData_25,review with at least one clone,mesmo arquivo
39179,AboutData_26,review with at least one clone,mesmo arquivo
39179,AboutData_27,review with at least one clone,mesmo arquivo
39179,AboutData_28,review with at least one clone,mesmo arquivo
39179,AboutDialogE4_1,review with at least one clone,arquivo diferente
39179,AboutDialogE4_10,review with at least one clone,arquivo diferente
39179,AboutDialogE4_11,review with at least one clone,arquivo diferente
39179,AboutDialogE4_2,review with at least one clone,arquivo diferente
39179,AboutDialogE4_3,review with at least one clone,ambos
39179,AboutDialogE4_4,review with at least one clone,arquivo diferente
39179,AboutDialogE4_5,review with at least one clone,arquivo diferente
39179,AboutDialogE4_6,review with at least one clone,arquivo diferente
39179,AboutDialogE4_7,review with at least one clone,arquivo diferente
39179,AboutDialogE4_8,review with at least one clone,ambos
39179,AboutDialogE4_9,review with at least one clone,ambos
39179,AboutFeaturesDialog_47,review with at least one clone,mesmo arquivo
39179,AboutItem_29,review with at least one clone,ambos
39179,AboutItem_30,review with at least one clone,mesmo arquivo
39179,AboutPluginsDialog_48,review with at least one clone,mesmo arquivo
39179,AboutTextManager_31,review with at least one clone,arquivo diferente
39179,AboutTextManager_34,review with at least one clone,mesmo arquivo
39179,AboutTextManager_35,review with at least one clone,ambos
39179,AboutTextManager_36,review with at least one clone,mesmo arquivo
39179,AboutTextManager_37,review with at least one clone,mesmo arquivo
39179,AboutTextManager_39,review with at least one clone,mesmo arquivo
39179,AboutTextManager_40,review with at least one clone,mesmo arquivo
39179,BundleSigningInfo_0,review with at least one clone,mesmo arquivo
39179,ConfigurationInfo_12,review with at least one clone,arquivo diferente
39179,ConfigurationLogDefaultSection_41,review with at least one clone,mesmo arquivo
39179,ConfigurationLogDefaultSection_42,review with at least one clone,mesmo arquivo
39179,ConfigurationLogDefaultSection_43,review with at least one clone,mesmo arquivo
39179,ConfigurationLogDefaultSection_44,review with at least one clone,mesmo arquivo
39179,ConfigurationLogDefaultSection_46,review with at least one clone,mesmo arquivo
39179,ProductProperties_13,review with at least one clone,mesmo arquivo
39179,ProductProperties_14,review with at least one clone,mesmo arquivo
39179,ProductProperties_16,review with at least one clone,mesmo arquivo
39358,ToolBarManager_1,review with at least one clone,mesmo arquivo
39358,ToolBarManager_2,review with at least one clone,mesmo arquivo
39384,,no_clone,
39475,,no_clone,
39601,,no_clone,
39662,,no_clone,
39706,,no_clone,
39750,,no_clone,
39784,,no_clone,
39830,,no_clone,
39887,,no_clone,
39951,,no_clone,
40067,,no_clone,
40071,,no_clone,
40096,,no_clone,
40098,,no_clone,
40273,,no_clone,
40281,,no_clone,
40282,,no_clone,
40285,,no_clone,
40308,,no_clone,
40354,WorkbenchActionBuilder_0,review with at least one clone,mesmo arquivo
40968,,no_clone,
41137,,no_clone,
41212,,no_clone,
41222,,no_clone,
41701,,no_clone,
41857,StackRenderer_2,review with at least one clone,mesmo arquivo
41918,,no_clone,
41946,,no_clone,
41978,,no_clone,
42143,,no_clone,
42144,,no_clone,
42146,,no_clone,
42294,,no_clone,
42409,,no_clone,
42551,,no_clone,
42552,,no_clone,
42553,,no_clone,
42589,,no_clone,
42685,,no_clone,
43166,,no_clone,
43273,,no_clone,
43353,,no_clone,
43370,,no_clone,
43377,,no_clone,
43397,,no_clone,
43398,,no_clone,
43399,,no_clone,
43403,,no_clone,
43406,,no_clone,
43412,,no_clone,
43508,,no_clone,
43509,,no_clone,
43510,,no_clone,
43512,,no_clone,
43513,,no_clone,
43514,,no_clone,
43515,,no_clone,
43516,,no_clone,
43517,,no_clone,
43518,,no_clone,
43623,,no_clone,
43688,,no_clone,
43805,,no_clone,
43915,,no_clone,
43937,,no_clone,
44043,,no_clone,
44110,,no_clone,
44417,,no_clone,
44719,,no_clone,
44721,,no_clone,
44725,,no_clone,
44739,,no_clone,
44783,,no_clone,
44951,,no_clone,
44959,,no_clone,
44977,,no_clone,
45168,,no_clone,
45169,,no_clone,
45170,,no_clone,
45175,,no_clone,
45216,,no_clone,
45221,,no_clone,
45224,,no_clone,
45287,CSSPropertyTreeArrowsSWTHandler_4,review with at least one clone,ambos
45299,,no_clone,
45303,,no_clone,
45306,AbstractElementSelector_1,review with at least one clone,mesmo arquivo
45306,CSSChildSelectorImpl_3,review with at least one clone,mesmo arquivo
45306,CSSChildSelectorImpl_4,review with at least one clone,mesmo arquivo
45306,CSSConditionalSelectorImpl_6,review with at least one clone,mesmo arquivo
45306,CSSDescendantSelectorImpl_8,review with at least one clone,mesmo arquivo
45306,CSSLangConditionImpl_11,review with at least one clone,mesmo arquivo
45308,,no_clone,
45314,,no_clone,
45317,,no_clone,
45341,,no_clone,
45344,,no_clone,
45424,,no_clone,
45461,ExternalBrowserInstance_0,review with at least one clone,arquivo diferente
45508,,no_clone,
45553,,no_clone,
45612,,no_clone,
45729,,no_clone,
45796,,no_clone,
45839,,no_clone,
45840,,no_clone,
45841,,no_clone,
45842,,no_clone,
45843,,no_clone,
45844,,no_clone,
45845,,no_clone,
45846,,no_clone,
45855,,no_clone,
45915,,no_clone,
46053,,no_clone,
46063,,no_clone,
46064,PerspectiveSwitcher_0,review with at least one clone,mesmo arquivo
46241,,no_clone,
46289,,no_clone,
46290,,no_clone,
46337,,no_clone,
46457,,no_clone,
46478,,no_clone,
46525,,no_clone,
46720,,no_clone,
46723,,no_clone,
46724,,no_clone,
46783,,no_clone,
46796,SearchField_1,review with at least one clone,arquivo diferente
46818,,no_clone,
46826,,no_clone,
46935,,no_clone,
47108,,no_clone,
47109,,no_clone,
47207,,no_clone,
47283,JobsView_0,review with at least one clone,mesmo arquivo
47283,JobsView_1,review with at least one clone,mesmo arquivo
47283,JobsView_2,review with at least one clone,mesmo arquivo
47283,JobsView_3,review with at least one clone,mesmo arquivo
47283,JobsView_4,review with at least one clone,mesmo arquivo
47364,,no_clone,
47386,,no_clone,
47388,,no_clone,
47396,,no_clone,
47471,,no_clone,
47479,,no_clone,
47481,,no_clone,
47484,,no_clone,
47490,,no_clone,
47551,JobsView_0,review with at least one clone,mesmo arquivo
47551,JobsView_1,review with at least one clone,mesmo arquivo
47551,JobsView_2,review with at least one clone,mesmo arquivo
47551,JobsView_3,review with at least one clone,mesmo arquivo
47551,JobsView_4,review with at least one clone,mesmo arquivo
47567,,no_clone,
47577,,no_clone,
47589,,no_clone,
47736,,no_clone,
47742,,no_clone,
47785,,no_clone,
48069,MenuManagerRenderer_0,review with at least one clone,arquivo diferente
48230,,no_clone,
48911,,no_clone,
49046,,no_clone,
50467,,no_clone,
50883,,no_clone,
50974,,no_clone,
51078,,no_clone,
51177,,no_clone,
51387,,no_clone,
51388,,no_clone,
51389,,no_clone,
51390,,no_clone,
51547,,no_clone,
51747,,no_clone,
51878,,no_clone,
51968,,no_clone,
52240,,no_clone,
52338,ViewsPreferencePage_0,review with at least one clone,mesmo arquivo
52488,ViewsPreferencePage_0,review with at least one clone,mesmo arquivo
52515,,no_clone,
52545,,no_clone,
52576,,no_clone,
52577,,no_clone,
52641,,no_clone,
52642,,no_clone,
52643,,no_clone,
52647,,no_clone,
52648,,no_clone,
52649,,no_clone,
52650,,no_clone,
52810,MenuItemRenderer_0,review with at least one clone,arquivo diferente
52810,MenuItemRenderer_1,review with at least one clone,arquivo diferente
52879,,no_clone,
52918,,no_clone,
53152,,no_clone,
53183,,no_clone,
53264,,no_clone,
53266,,no_clone,
53658,,no_clone,
53669,,no_clone,
53752,,no_clone,
53758,,no_clone,
53768,,uninteresting_clone,
53991,,no_clone,
54175,,no_clone,
54430,,no_clone,
54463,,no_clone,
54501,,no_clone,
54523,,no_clone,
54526,,no_clone,
54539,,no_clone,
54540,,no_clone,
54655,,no_clone,
54687,,no_clone,
54759,,no_clone,
54790,,no_clone,
54795,,no_clone,
54848,,no_clone,
54879,,no_clone,
54935,,no_clone,
55120,,no_clone,
55277,,no_clone,
55627,,no_clone,
55830,,no_clone,
56216,,no_clone,
56271,CopyFilesAndFoldersOperation_0,review with at least one clone,ambos
56271,FolderDescription_10,review with at least one clone,mesmo arquivo
56271,ImportOperation_13,review with at least one clone,mesmo arquivo
56271,LinkedResourceEditor_7,review with at least one clone,mesmo arquivo
56271,QuickFixWizard_11,review with at least one clone,mesmo arquivo
56271,RefreshAction_2,review with at least one clone,mesmo arquivo
56271,WizardProjectsImportPage_12,review with at least one clone,mesmo arquivo
56271,WorkspaceUndoUtil_4,review with at least one clone,mesmo arquivo
56271,WorkspaceUndoUtil_6,review with at least one clone,mesmo arquivo
56272,,no_clone,
56273,,no_clone,
56310,,no_clone,
