type_clone,reviews,blocks
unique_ini,8,70
unique_mei,5,447
unique_final,7,9
unique_ini_mei_final,28,186
ini_mei,8,94
mei,4,18
mei_final,9,282
ini_mei_final,21,29
apa_des_apa,0,0
total_reviews_with_clone,64,
total_blocks_with_clone,,1135
