type_clone,reviews,blocks
unique_ini,21,31
unique_mei,7,17
unique_final,3,3
unique_ini_mei_final,10,17
ini_mei,8,28
mei,5,11
mei_final,34,84
ini_mei_final,86,190
apa_des_apa,1,1
total_reviews_with_clone,130,
total_blocks_with_clone,,382
