type_clone,reviews,blocks
unique_ini,77,97
unique_mei,44,78
unique_final,45,58
unique_ini_mei_final,220,466
ini_mei,67,75
mei,50,111
mei_final,105,146
ini_mei_final,214,315
apa_des_apa,13,57
total_reviews_with_clone,667,
total_blocks_with_clone,,1403
