id,review_number,revision_number,author,status,change_id,url,original_before_commit_id,original_after_commit_id,before_commit_id,after_commit_id
563_rev4,563,4,Boris Partensky,MERGED,I3bac849cee69fd6b57b20139832193b97975f6f6,http://review.couchbase.org/#/c/563/4,1f0daa087c4857f80abc6732a9e51ac9b204357f,609b8b62a45bfad38e3c1b7afea4dd4a524c4e7d,6ffbc91aeccf670971d63fb1800af29aa2f2f731,34f31b3aab80376e0d718a1be09cbe27fb466962
569_rev1,569,1,Boris Partensky,ABANDONED,I7042366f9aef32eda4f5562ee5379532c052d8e5,http://review.couchbase.org/#/c/569/1,cb30aeb0d10598b820b10ffb8231d8a373a4d666,7042366f9aef32eda4f5562ee5379532c052d8e5,a14108e2a9f634150c4183b1da840f3c5d90cbe4,a5f08b40c12850d027d462c07d3be067bba1e02c
571_rev1,571,1,Boris Partensky,ABANDONED,I572ef3107847c39fe05dc6a6b5aa438a51adfbd0,http://review.couchbase.org/#/c/571/1,7042366f9aef32eda4f5562ee5379532c052d8e5,572ef3107847c39fe05dc6a6b5aa438a51adfbd0,a5f08b40c12850d027d462c07d3be067bba1e02c,7712b23e2c17241ae6e8bd542c3a8e0e4c9b9c61
572_rev1,572,1,Boris Partensky,ABANDONED,Icab16c64509cf8b613083973261dad1cb0cec6b9,http://review.couchbase.org/#/c/572/1,572ef3107847c39fe05dc6a6b5aa438a51adfbd0,cab16c64509cf8b613083973261dad1cb0cec6b9,7712b23e2c17241ae6e8bd542c3a8e0e4c9b9c61,c49b9a8bcbadcc3f4ab6f62b6e9eff6998d4e7e1
574_rev1,574,1,Boris Partensky,ABANDONED,Ie6f2d5fa781436df7061eb9a6457a1165bbbf9fe,http://review.couchbase.org/#/c/574/1,cab16c64509cf8b613083973261dad1cb0cec6b9,e6f2d5fa781436df7061eb9a6457a1165bbbf9fe,c49b9a8bcbadcc3f4ab6f62b6e9eff6998d4e7e1,155cc3b845600269785d93d68652bbe977f6a1d1
Not Found parents from review: ,629
Not Found parents from review: ,630
919_rev1,919,1,Dustin Sallings,MERGED,I7e0f74da72214cbe4c72cd693ee11461138f172b,http://review.couchbase.org/#/c/919/1,f8111142520726952a49f7c7f9c223680c224acf,7e0f74da72214cbe4c72cd693ee11461138f172b,b2307eb39d1cf2288a5a015bcc6595904214a541,a91a661f544c09e66a6826f439b0e50e624434c8
920_rev1,920,1,ddlatham,MERGED,I28b58a9e1832abedfd8e4177bb38e5cdac158bcb,http://review.couchbase.org/#/c/920/1,7e0f74da72214cbe4c72cd693ee11461138f172b,a1c93fdece17ef3ebf4f010211fba1f26d3de356,a91a661f544c09e66a6826f439b0e50e624434c8,c4e78f2105c8db4b35f4c03eb86f55d22ac58226
935_rev1,935,1,Blair Zajac,MERGED,Ica58e45f3e0e49a72c7a7a8743bf9180ea9cb7ed,http://review.couchbase.org/#/c/935/1,ca7bfc2428ead005c502cdfcf97911b83e7adab3,a403efef770d44378429d178d08e22b4300e351d,c4e78f2105c8db4b35f4c03eb86f55d22ac58226,3637b890f5477b355b653e95a44d222317cc2711
