type_clone,reviews,blocks
unique_ini,74,166
unique_mei,43,172
unique_final,38,108
ini_mei,79,183
mei,43,110
mei_final,138,233
ini_mei_final,300,2976
apa_des_apa,8,13
total_reviews_with_clone,518,
total_blocks_with_clone,,3961
