type_clone,reviews,blocks
unique_ini,77,97
unique_mei,44,78
unique_final,45,58
ini_mei,67,75
mei,50,111
mei_final,105,146
ini_mei_final,214,315
apa_des_apa,13,57
total_reviews_with_clone,447,
total_blocks_with_clone,,937
