type_clone,reviews,blocks
unique_ini,93,118
unique_mei,36,48
unique_final,36,53
ini_mei,58,83
mei,27,42
mei_final,116,158
ini_mei_final,275,380
apa_des_apa,8,10
total_reviews_with_clone,492,
total_blocks_with_clone,,892
