block5.java_method#1#24,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/DiffTool.java_getFiles#291#322
block4.java_method#1#7,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/DiffTool.java_showToolHelp#257#289,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/MergeTool.java_showToolHelp#435#466
block3.java_method#1#7,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/DiffTool.java_showToolHelp#257#289,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/MergeTool.java_showToolHelp#435#466
block7.java_method#1#7,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/DiffTool.java_createFileElement#324#363
block11.java_method#1#13,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/MergeTool.java_getFiles#468#483
block10.java_method#1#18,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/MergeTool.java_showToolHelp#435#466,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/DiffTool.java_showToolHelp#257#289
block9.java_method#1#13,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/MergeTool.java_isLaunch#394#409
block21.java_method#1#7,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit/src/org/eclipse/jgit/diffmergetool/MergeToolManager.java_getFirstAvailableTool#187#196,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit/src/org/eclipse/jgit/diffmergetool/DiffToolManager.java_getFirstAvailableTool#139#148
block2.java_method#1#7,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/DiffTool.java_compare#186#238,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/MergeTool.java_mergeModified#202#326
block6.java_method#1#36,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_17/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/DiffTool.java_createFileElement#324#363
