block4.java_method#1#25,/home/gesad/PycharmProjects/Diff/befores/egit/before_87932_3/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/actions/SwitchToMenu.java_createDynamicMenu#97#214
block1.java_method#1#6,/home/gesad/PycharmProjects/Diff/befores/egit/before_87932_3/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/actions/SwitchToMenu.java_widgetSelected#102#129,/home/gesad/PycharmProjects/Diff/befores/egit/before_87932_3/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/actions/SwitchToMenu.java_createDynamicMenu#97#214
block0.java_method#1#19,/home/gesad/PycharmProjects/Diff/befores/egit/before_87932_3/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/actions/SwitchToMenu.java_widgetSelected#102#129,/home/gesad/PycharmProjects/Diff/befores/egit/before_87932_3/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/actions/SwitchToMenu.java_createDynamicMenu#97#214
