block4.java_method#1#13,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_56822_1/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/databinding/fieldassist/ControlDecorationSupport.java_handleListChange#157#171
block1.java_method#1#22,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_56822_1/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/databinding/dialog/TitleAreaDialogSupport.java_handleListChange#82#107,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_56822_1/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/databinding/dialog/DialogPageSupport.java_handleListChange#81#106
block3.java_method#1#22,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_56822_1/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/databinding/dialog/TitleAreaDialogSupport.java_handleListChange#82#107,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_56822_1/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/databinding/dialog/DialogPageSupport.java_handleListChange#81#106
block7.java_method#1#12,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_56822_1/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/internal/databinding/provisional/swt/TableUpdater.java_handleListChange#156#171
block10.java_method#1#6,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_56822_1/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/internal/databinding/viewers/ObservableCollectionContentProvider.java_createObservable#96#103,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_56822_1/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/internal/databinding/viewers/ObservableCollectionContentProvider.java_ObservableCollectionContentProvider#87#111
block9.java_method#1#11,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_56822_1/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/internal/databinding/viewers/CheckableCheckedElementsObservableSet.java_checkStateChanged#67#80,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_56822_1/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/internal/databinding/viewers/CheckableCheckedElementsObservableSet.java_CheckableCheckedElementsObservableSet#55#83
block8.java_method#1#6,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_56822_1/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/internal/databinding/swt/SWTVetoableValueDecorator.java_handleEvent#35#43
