block3.java_method#1#17,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_45857_2/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/dialogs/cpd/UnavailableContributionItemCheckListener.java_checkStateChanged#54#96
block0.java_method#1#29,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_45857_2/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/actions/ContributionItemFactory.java_create#108#202
block2.java_method#1#9,/home/gesad/PycharmProjects/Diff/befores/platform.ui/before_45857_2/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/actions/ContributionItemFactory.java_create#108#202
