block1.java_method#1#19,/home/gesad/PycharmProjects/Diff/befores/jgit/before_65078_1/org.eclipse.jgit.test/tst/org/eclipse/jgit/api/RebaseCommandTest.java_doTestRebasePreservingMerges#355#473
block3.java_method#1#49,/home/gesad/PycharmProjects/Diff/befores/jgit/before_65078_1/org.eclipse.jgit.test/tst/org/eclipse/jgit/api/RebaseCommandTest.java_doTestRebasePreservingMergesWithUnrelatedSide#518#602,/home/gesad/PycharmProjects/Diff/befores/jgit/before_65078_1/org.eclipse.jgit.test/tst/org/eclipse/jgit/api/RebaseCommandTest.java_doTestRebasePreservingMerges#355#473
block0.java_method#1#8,/home/gesad/PycharmProjects/Diff/befores/jgit/before_65078_1/org.eclipse.jgit.test/tst/org/eclipse/jgit/api/RebaseCommandTest.java_testRebaseShouldIgnoreMergeCommits#244#321,/home/gesad/PycharmProjects/Diff/befores/jgit/before_65078_1/org.eclipse.jgit.test/tst/org/eclipse/jgit/api/RebaseCommandTest.java_doTestRebasePreservingMerges#355#473
block2.java_method#1#6,/home/gesad/PycharmProjects/Diff/befores/jgit/before_65078_1/org.eclipse.jgit.test/tst/org/eclipse/jgit/api/RebaseCommandTest.java_doTestRebasePreservingMergesWithUnrelatedSide#518#602
