block1.java_method#1#16,/home/gesad/PycharmProjects/Diff/befores/egit/before_5391_8/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/CompareUtils.java_compare#546#565
block8.java_method#1#6,/home/gesad/PycharmProjects/Diff/befores/egit/before_5391_8/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/history/command/OpenInTextEditorHandler.java_execute#39#122,/home/gesad/PycharmProjects/Diff/befores/egit/before_5391_8/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/history/command/ShowVersionsHandler.java_execute#49#137
block2.java_method#1#7,/home/gesad/PycharmProjects/Diff/befores/egit/before_5391_8/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/CompareUtils.java_compareBetween#599#624
block6.java_method#1#7,/home/gesad/PycharmProjects/Diff/befores/egit/before_5391_8/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/history/command/ShowVersionsHandler.java_execute#49#137,/home/gesad/PycharmProjects/Diff/befores/egit/before_5391_8/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/history/command/OpenInTextEditorHandler.java_execute#39#122
