block23.java_method#1#6,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_12/org.eclipse.jgit/src/org/eclipse/jgit/diffmergetool/MergeToolManager.java_setupPredefinedTools#249#261
block4.java_method#1#8,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_12/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/DiffTool.java_showToolHelp#257#289,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_12/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/MergeTool.java_showToolHelp#437#468
block1.java_method#1#8,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_12/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/DiffTool.java_showToolHelp#257#289,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_12/org.eclipse.jgit.pgm/src/org/eclipse/jgit/pgm/MergeTool.java_showToolHelp#437#468
block24.java_method#1#7,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_12/org.eclipse.jgit/src/org/eclipse/jgit/diffmergetool/MergeToolManager.java_setupUserDefinedTools#263#287,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_12/org.eclipse.jgit/src/org/eclipse/jgit/diffmergetool/DiffToolManager.java_setupUserDefinedTools#199#219
block20.java_method#1#8,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_12/org.eclipse.jgit/src/org/eclipse/jgit/diffmergetool/MergeToolManager.java_getFirstAvailableTool#187#196,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_12/org.eclipse.jgit/src/org/eclipse/jgit/diffmergetool/DiffToolManager.java_getFirstAvailableTool#139#148
block17.java_method#1#29,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_12/org.eclipse.jgit/src/org/eclipse/jgit/diffmergetool/MergeToolManager.java_merge#74#126
block25.java_method#1#8,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_12/org.eclipse.jgit/src/org/eclipse/jgit/diffmergetool/MergeToolManager.java_setupUserDefinedTools#263#287
block22.java_method#1#16,/home/gesad/PycharmProjects/Diff/befores/jgit/before_140275_12/org.eclipse.jgit/src/org/eclipse/jgit/diffmergetool/MergeToolManager.java_keepBackupFile#238#247
