block3.java_method#1#8,/home/gesad/PycharmProjects/Diff/befores/jgit/before_137415_2/org.eclipse.jgit/src/org/eclipse/jgit/internal/storage/dfs/DfsPackFile.java_getReverseIdx#324#357
block0.java_method#1#38,/home/gesad/PycharmProjects/Diff/befores/jgit/before_137415_2/org.eclipse.jgit/src/org/eclipse/jgit/internal/storage/dfs/DfsPackFile.java_idx#178#249,/home/gesad/PycharmProjects/Diff/befores/jgit/before_137415_2/org.eclipse.jgit/src/org/eclipse/jgit/internal/storage/dfs/DfsPackFile.java_getBitmapIndex#255#322
block2.java_method#1#36,/home/gesad/PycharmProjects/Diff/befores/jgit/before_137415_2/org.eclipse.jgit/src/org/eclipse/jgit/internal/storage/dfs/DfsPackFile.java_getBitmapIndex#255#322,/home/gesad/PycharmProjects/Diff/befores/jgit/before_137415_2/org.eclipse.jgit/src/org/eclipse/jgit/internal/storage/dfs/DfsPackFile.java_idx#178#249
